Column Index,Tread Depth (mm)
478,8.33192
479,8.33192
480,8.33192
481,8.33192
482,8.33192
483,8.679556
484,8.679556
485,8.679556
486,9.02858
487,9.02858
488,9.378992
489,9.730792
490,10.438556
491,11.151872
492,11.510612
493,11.510612
494,11.87074
495,11.87074
496,12.232256
497,12.232256
498,12.232256
499,12.232256
500,12.232256
501,12.232256
502,12.232256
503,12.232256
504,12.232256
505,12.232256
506,12.232256
507,12.232256
508,12.232256
509,12.232256
510,12.232256
511,12.232256
512,12.232256
513,12.232256
514,12.232256
515,12.232256
516,12.232256
517,12.232256
518,11.87074
519,11.87074
520,11.87074
521,11.87074
522,11.510612
523,11.510612
524,11.510612
525,11.510612
526,11.510612
527,11.510612
528,11.510612
529,11.510612
530,11.510612
531,6.9552555
532,6.9552555
533,6.9552555
534,6.9552555
535,6.9552555
536,6.9552555
537,6.9552555
538,6.9552555
539,6.9552555
540,6.9552555
541,6.9552555
542,6.9552555
543,6.9552555
544,6.9552555
545,6.9552555
546,6.9552555
547,6.9552555
548,6.9552555
549,6.9552555
550,6.9552555
551,6.614559
552,6.614559
553,6.614559
554,6.614559
555,6.614559
556,6.614559
557,6.614559
558,6.614559
559,6.614559
560,6.614559
561,6.614559
562,6.614559
563,6.2752514
564,6.2752514
565,6.614559
566,6.614559
567,6.614559
568,6.614559
569,6.9552555
570,6.9552555
571,6.9552555
572,6.9552555
573,6.9552555
574,6.614559
575,6.2752514
576,6.2752514
577,6.2752514
578,6.2752514
579,6.2752514
580,6.2752514
581,6.2752514
582,6.2752514
583,6.2752514
584,6.2752514
585,5.937332
586,5.937332
587,5.937332
588,5.937332
589,5.937332
590,5.937332
591,5.937332
592,5.937332
593,5.937332
594,5.937332
595,5.937332
596,5.937332
597,5.937332
598,5.937332
599,5.937332
600,5.6007996
601,5.6007996
602,5.6007996
603,5.6007996
604,5.6007996
605,5.6007996
606,5.6007996
607,5.6007996
608,5.6007996
609,5.6007996
610,5.6007996
611,5.6007996
612,5.6007996
613,5.6007996
614,5.6007996
615,5.6007996
616,5.6007996
617,5.6007996
618,5.6007996
619,5.6007996
620,5.6007996
621,5.6007996
622,5.6007996
623,5.2656555
624,5.2656555
625,5.2656555
626,5.2656555
627,5.2656555
628,5.2656555
629,5.2656555
630,5.2656555
631,5.2656555
632,5.2656555
633,5.2656555
634,5.2656555
635,5.2656555
636,5.2656555
637,5.2656555
638,5.2656555
639,4.9319
640,5.2656555
641,5.2656555
642,5.2656555
643,4.9319
644,4.9319
645,4.9319
646,4.9319
647,4.9319
648,4.9319
649,4.9319
650,4.9319
651,4.9319
652,4.9319
653,4.9319
654,4.599531
655,4.599531
656,4.599531
657,4.599531
658,4.599531
659,4.599531
660,4.599531
661,4.599531
662,4.599531
663,4.599531
664,4.599531
665,4.599531
666,4.599531
667,4.599531
668,4.599531
669,4.599531
670,4.599531
671,4.599531
672,4.599531
673,4.599531
674,4.599531
675,4.599531
676,4.599531
677,4.599531
678,4.599531
679,4.268551
680,4.268551
681,4.268551
682,4.268551
683,4.268551
684,4.268551
685,4.268551
686,4.268551
687,4.268551
688,4.268551
689,4.268551
690,4.268551
691,4.268551
692,4.268551
693,4.268551
694,3.9389591
695,3.9389591
696,3.9389591
697,7.2973404
698,7.640812
